bottle,tank,OA,thermal,species,treatment,temp,salinity,TA,pH
21021901,T1,ramp,control,Ofav,CC,22.5387,31.4523284,2611.60662,8.07453808
21021902,T2,ramp,control,Ssid,LH,22.5282,31.5836585,2617.277885,8.06526957
21021903,T3,ramp,control,Ssid,CC,22.5339,31.5797187,2622.810446,8.04335338
21021904,T4,ramp,control,Ofav,LC,22.5968,31.4733418,2615.517392,8.06915286
21021905,T5,ramp,control,Ssid,CH,22.5349,31.3170493,2631.944951,8.05174115
21021906,T6,ramp,control,Ofav,CH,22.5962,31.3800931,2622.635323,8.00914939
21021907,T7,ramp,control,Ssid,LC,22.5962,31.3879735,2612.679358,8.06514302
21021908,T8,ramp,control,Ofav,LH,22.4936,31.3971672,2621.148817,8.0344486
21030105,T5,ramp,control,Ssid,CH,22.57,33.7296877,2517.273268,8.01616333
21030106,T6,ramp,control,Ofav,CH,22.5759,33.845118,2512.20823,8.0287068
21030107,T7,ramp,control,Ssid,LC,22.5163,34.003823,2516.122542,8.06183386
21030108,T8,ramp,control,Ofav,LH,22.5876,33.8805327,2517.057165,8.02016051
21030801,T1,OA,control,Ofav,CC,22.556,34.5205713,2509.334173,8.03748623
21030802,T2,OA,control,Ssid,LH,22.5333,34.5481023,2502.016016,7.77858796
21030803,T3,OA,control,Ssid,CC,22.5939,34.3291541,2498.403643,8.03094839
21030804,T4,OA,control,Ofav,LC,22.5589,34.4196208,2511.155627,7.80146127
21030805,T5,OA,control,Ssid,CH,22.4558,34.3212872,2503.759713,8.03324671
21030806,T6,OA,control,Ofav,CH,22.5062,34.2425111,2519.12679,8.034274
21030807,T7,OA,control,Ssid,LC,22.5608,34.5625232,2510.145081,7.78928725
21030808,T8,OA,control,Ofav,LH,22.5923,34.3514434,2510.945696,7.76643988
21031501,T1,OA,control,Ofav,CC,22.5741,34.96767,2453.831237,7.999665
21031502,T2,OA,control,Ssid,LH,22.5852,35.0514244,2451.499592,7.78554243
21031503,T3,OA,control,Ssid,CC,22.4884,34.8811332,2447.312512,8.04062882
21031504,T4,OA,control,Ofav,LC,22.4822,34.9269824,2443.625461,7.79923481
21031505,T5,OA,control,Ssid,CH,22.5571,34.9820439,2437.096908,8.03369508
21031506,T6,OA,control,Ofav,CH,22.5841,34.9361521,2451.020986,8.03281838
21031507,T7,OA,control,Ssid,LC,22.517,35.0120982,2450.862095,7.79800295
21031508,T8,OA,control,Ofav,LH,22.5145,34.9611363,2442.951515,7.75342392
21032201,T1,OA,control,Ofav,CC,22.6686,35.2074132,2472.061065,8.02126028
21032202,T2,OA,control,Ssid,LH,22.6533,35.2952161,2448.050287,7.81748566
21032204,T4,OA,control,Ofav,LC,22.6699,35.1418034,2476.357189,7.80643014
21032205,T5,OA,control,Ssid,CH,22.6954,35.2899743,2452.585677,8.03981299
21032206,T6,OA,control,Ofav,CH,22.6554,35.2008605,2453.113194,8.05871098
21032208,T8,OA,control,Ofav,LH,22.651,35.1535917,2457.89017,7.77714644
21032211,T11,OA,control,Ssid,LC,22.6111,35.280801,2448.282479,7.76242665
21032212,T12,OA,control,Ssid,CC,22.6761,35.2113447,2447.108824,8.02512761
21032901,T1,OA,control,Ofav,CC,22.5357,35.1653798,2448.593031,8.01734412
21032902,T2,OA,control,Ssid,LH,22.5816,35.1129874,2448.407159,7.77170147
21032904,T4,OA,control,Ofav,LC,22.5603,32.4844306,2456.164403,7.76260907
21032905,T5,OA,control,Ssid,CH,22.5416,35.2834219,2444.175366,8.01877232
21032906,T6,OA,control,Ofav,CH,22.5953,35.2126553,2461.060405,8.03701556
21032908,T8,OA,control,Ofav,LH,22.571,35.0841709,2447.580736,7.77419329
21032911,T11,OA,control,Ssid,LC,22.551,35.0619034,2462.016958,7.77447551
21032912,T12,OA,control,Ssid,CC,22.5946,35.1247758,2461.385773,8.01638864
21040501,T1,OA,ramp,Ofav,CC,22.4198,36.0264475,2423.60714,8.01832715
21040502,T2,OA,ramp,Ssid,LH,22.5972,36.0919519,2429.183762,7.77601458
21040504,T4,OA,ramp,Ofav,LC,22.4642,36.093262,2426.959916,7.83846307
21040505,T5,OA,ramp,Ssid,CH,22.652,36.0526495,2416.593337,8.00332752
21040506,T6,OA,ramp,Ofav,CH,22.6333,34.3225983,2433.079741,8.04321693
21040508,T8,OA,ramp,Ofav,LH,22.6596,36.0578899,2435.055281,7.76453005
21040511,T11,OA,ramp,Ssid,LC,22.5537,36.0723008,2423.271347,7.77416581
21040512,T12,OA,ramp,Ssid,CC,22.5444,36.1050525,2424.885154,8.01240248
21041201,T1,OA,ramp,Ofav,CC,22.5648,35.8272993,2430.478035,8.01929781
21041202,T2,OA,ramp,Ssid,LH,26.0841,35.7670265,2436.090828,7.77859387
21041204,T4,OA,ramp,Ofav,LC,22.5546,35.5402558,2434.700127,7.79738997
21041205,T5,OA,ramp,Ssid,CH,26.0775,36.0618202,2400.428983,8.02626175
21041206,T6,OA,ramp,Ofav,CH,26.1315,35.9792828,2435.530395,8.06177118
21041208,T8,OA,ramp,Ofav,LH,26.1037,35.9976247,2460.883431,7.82440059
21041211,T11,OA,ramp,Ssid,LC,22.6028,35.719756,2429.696147,7.78313596
21041212,T12,OA,ramp,Ssid,CC,22.5499,35.6804509,2430.931786,8.01539087
21041901,T1,OA,ramp,Ofav,CC,22.5966,35.351565,2403.89363,8.0287227
21041902,T2,OA,ramp,Ssid,LH,32.7472,35.6332837,2406.788253,7.75065233
21041903,T3,OA,ramp,Ssid,CC,22.5966,35.4694991,2393.444076,7.80159471
21041904,T4,OA,ramp,Ofav,LC,22.6107,35.4328093,2397.415318,7.80016758
21041905,T5,OA,ramp,Ssid,CH,32.6886,35.7853706,2406.289123,8.02724539
21041906,T6,OA,ramp,Ofav,CH,32.7229,35.6516267,2433.132453,8.03414555
21041908,T8,OA,ramp,Ofav,LH,32.7559,35.7066544,2432.100923,7.75118002
21041909,T9,OA,ramp,Ssid,CH,22.5898,35.2873533,2405.048843,8.06526594
21041910,T10,OA,ramp,Ssid,LH,32.7613,35.8089556,2439.578236,7.74072163
21041911,T11,OA,ramp,Ssid,LC,22.5429,33.5985083,2397.185419,7.78338233
21041912,T12,OA,ramp,Ssid,CC,22.5284,35.410533,2399.230026,8.02577866
21042602,T2,OA,thermal,Ssid,LH,32.9656,36.0631302,2393.167142,7.759665
21042603,T3,OA,thermal,Ssid,CC,22.5929,35.6123201,2322.376549,7.77464495
21042604,T4,OA,thermal,Ofav,LC,22.5017,35.9596305,2358.496071,7.78782276
21042605,T5,OA,thermal,Ssid,CH,32.9572,36.3866925,2374.431305,8.04784623
21042606,T6,OA,thermal,Ofav,CH,33.0029,36.516363,2420.749732,8.00497866
21042609,T9,OA,thermal,Ssid,CH,22.5281,35.4773611,2341.490683,8.05368888
21042610,T10,OA,thermal,Ssid,LH,33.0212,36.3539459,2390.872755,7.76686783
21042611,T11,OA,thermal,Ssid,LC,22.5723,35.2925952,2341.030741,7.7888966
21042612,T12,OA,thermal,Ssid,CC,22.4678,35.6057689,2344.416113,7.99246791
21050302,T2,OA,thermal,Ssid,LH,32.9563,36.2268836,2335.927523,7.75950866
21050303,T3,OA,thermal,Ssid,CC,25.8449,35.9347372,2307.619182,7.98967645
21050304,T4,OA,thermal,Ofav,LC,26.1586,35.9832132,2320.217825,7.79291834
21050305,T5,OA,thermal,Ssid,CH,32.9424,36.4888579,2340.782208,8.04026217
21050306,T6,OA,thermal,Ofav,CH,33.016,36.4901677,2356.667113,8.02628435
21050309,T9,OA,thermal,Ssid,CH,26.1498,35.9543898,2320.891076,8.00722833
21050310,T10,OA,thermal,Ssid,LH,32.9406,36.4927872,2356.841547,7.78365789
21050311,T11,OA,thermal,Ssid,LC,26.2432,36.0303778,2306.673512,7.77973237
21050312,T12,OA,thermal,Ssid,CC,26.1276,36.0670605,2304.239546,8.03434416
21051002,T2,OA,thermal,Ssid,LH,33.028,36.5425579,2346.593821,7.76689417
21051004,T4,OA,thermal,Ofav,LC,32.7763,36.2989303,2341.854978,7.79906065
21051005,T5,OA,thermal,Ssid,CH,32.9495,34.2333313,2342.734177,8.05601047
21051006,T6,OA,thermal,Ofav,CH,32.9846,36.4862384,2356.817121,8.04521691
21051009,T9,OA,thermal,Ssid,CH,32.725,34.6726422,2339.535405,8.00152383
21051010,T10,OA,thermal,Ssid,LH,33.0037,36.2111639,2335.406506,7.78990002
21051011,T11,OA,thermal,Ssid,LC,32.7121,36.1194631,2327.850936,7.76356678
21051012,T12,OA,thermal,Ssid,CC,32.7628,36.1247033,2323.4389,8.00320006
21051702,T2,OA,thermal,Ssid,LH,32.9596,36.0670605,2359.169882,7.78131524
21051704,T4,OA,thermal,Ofav,LC,32.9439,36.0578899,2363.797548,7.78112606
21051705,T5,OA,thermal,Ssid,CH,32.9488,36.2386733,2364.572629,8.06104944
21051706,T6,OA,thermal,Ofav,CH,32.9737,36.1089827,2354.26254,8.04092301
21051709,T9,OA,thermal,Ssid,CH,32.9814,36.094572,2361.35586,8.04308309
21051711,T11,OA,thermal,Ssid,LC,33.0009,36.0264475,2351.054167,7.7765906
21051712,T12,OA,thermal,Ssid,CC,32.9986,36.118153,2355.483741,8.02687007
21060102,T2,OA,thermal,Ssid,LH,32.9985,36.4266013,2348.588702,7.77468109
21060103,T3,OA,thermal,Ssid,CC,32.9469,36.8477005,2368.135956,8.05287449
21060104,T4,OA,thermal,Ofav,LC,32.9947,38.0062394,2400.43973,7.81145659
21060105,T5,OA,thermal,Ssid,CH,32.9784,36.7029512,2355.996937,8.07197688