id,site,species,geno,replicate,sampleid,tank,ph,temp,treatment,treat,time,genotype,growthrate,fvfm,fvfm_ratio,survival,propB,propD,temp_actual,ph_actual
Ofav_080,Emerald,Ofav,1,1,Eo1-1,1,controlpH,controltemp,controlpH_controltemp,CC,02:38,1,0.513999652,0.327,0.582,10,1.00,0.00,22.569637,8.066104
Ofav_081,Emerald,Ofav,3,1,Eo3-1,1,controlpH,controltemp,controlpH_controltemp,CC,02:40,3,0.332052499,0.434,0.737,18,0.93,0.07,22.517529,8.065329
Ofav_082,Emerald,Ofav,4,1,Eo4-1,1,controlpH,controltemp,controlpH_controltemp,CC,02:42,4,0.437211206,0.294,0.507,31,1.00,0.00,22.523381,8.067308
Ofav_083,Emerald,Ofav,5,1,Eo5-1,1,controlpH,controltemp,controlpH_controltemp,CC,02:43,5,0.548562048,0.358,0.606,10,1.00,0.00,22.525446,8.067308
Ofav_084,Rainbow,Ofav,3,1,Ro3-1,1,controlpH,controltemp,controlpH_controltemp,CC,02:46,8,0.683454293,0.323,0.551,17,1.00,0.00,22.530609,8.064591
Ofav_085,Rainbow,Ofav,4,1,Ro4-1,1,controlpH,controltemp,controlpH_controltemp,CC,02:47,9,0.420509784,0.388,0.636,17,0.90,0.11,22.537625,8.065505
Ofav_086,Rainbow,Ofav,5,1,Ro5-1,1,controlpH,controltemp,controlpH_controltemp,CC,02:48,10,0.42361281,0.397,0.657,32,0.00,1.00,22.545034,8.067564
Ofav_087,Star,Ofav,3,1,So3-1,1,controlpH,controltemp,controlpH_controltemp,CC,02:51,13,0.265474824,0.43,0.72,25,0.00,1.00,22.555262,8.065163
Ofav_088,Star,Ofav,4,1,So4-1,1,controlpH,controltemp,controlpH_controltemp,CC,02:52,14,0.269329097,0.437,0.739,31,0.00,1.00,22.571604,8.065336
Ofav_089,Star,Ofav,5,1,So5-1,1,controlpH,controltemp,controlpH_controltemp,CC,02:53,15,0.209789356,0.486,0.758,31,0.00,1.00,22.570833,8.066034
Ofav_090,MacN,Ofav,1,1,Mo1-1,1,controlpH,controltemp,controlpH_controltemp,CC,02:54,16,-0.132082631,0.402,0.722,28,0.00,1.00,22.592339,8.067567
Ofav_091,MacN,Ofav,4,1,Mo4-1,1,controlpH,controltemp,controlpH_controltemp,CC,02:56,19,-0.105226315,0.429,0.737,31,0.00,1.00,22.598748,8.066505
Ofav_092,MacN,Ofav,5,1,Mo5-1,1,controlpH,controltemp,controlpH_controltemp,CC,02:57,20,0.288952665,0.485,0.808,34,0.00,1.00,22.592601,8.065325
Ofav_093,MacN,Ofav,6,1,CR043,1,controlpH,controltemp,controlpH_controltemp,CC,02:58,21,0.038396602,0.48,0.782,25,0.00,1.00,22.603895,8.064723
Ofav_094,Emerald,Ofav,1,2,Eo1-2,6,controlpH,hightemp,controlpH_hightemp,CH,03:01,1,0.393152124,0.342,0.631,12,1.00,0.00,33.004931,7.745075
Ofav_095,Emerald,Ofav,2,2,Eo2-2,6,controlpH,hightemp,controlpH_hightemp,CH,03:02,2,0.199876607,0.452,0.755,24,0.30,0.70,32.991769,7.743074
Ofav_096,Emerald,Ofav,3,2,Eo3-2,6,controlpH,hightemp,controlpH_hightemp,CH,03:03,3,0.211774423,0.447,0.729,23,0.67,0.33,32.974558,7.748701
Ofav_097,Emerald,Ofav,4,2,Eo4-2,6,controlpH,hightemp,controlpH_hightemp,CH,03:05,4,0.222988735,0.314,0.535,32,1.00,0.00,32.95538,7.7615
Ofav_098,Emerald,Ofav,5,2,Eo5-2,6,controlpH,hightemp,controlpH_hightemp,CH,03:06,5,0.403904178,0.366,0.618,11,0.92,0.08,32.954085,7.773905
Ofav_099,Rainbow,Ofav,1,2,Ro1-2,6,controlpH,hightemp,controlpH_hightemp,CH,03:09,6,-0.028996722,0.377,0.658,13,0.63,0.38,32.96156,7.836482
Ofav_100,Rainbow,Ofav,2,2,Ro2-2,6,controlpH,hightemp,controlpH_hightemp,CH,03:10,7,0.056504208,0.359,0.653,14,0.00,1.00,32.965281,7.852662
Ofav_101,Rainbow,Ofav,3,2,Ro3-2,6,controlpH,hightemp,controlpH_hightemp,CH,03:10,8,0.265040369,0.325,0.553,11,0.00,0.00,32.965281,7.852662
Ofav_102,Rainbow,Ofav,4,2,Ro4-2,6,controlpH,hightemp,controlpH_hightemp,CH,03:08,9,0.327051796,0.401,0.652,11,1.00,0.00,32.954446,7.823464
Ofav_103,Rainbow,Ofav,5,2,Ro5-2,6,controlpH,hightemp,controlpH_hightemp,CH,03:07,10,0.334279926,0.365,0.649,25,0.00,1.00,32.953872,7.785509
Ofav_104,Star,Ofav,1,2,So1-2,6,controlpH,hightemp,controlpH_hightemp,CH,03:13,11,0.074842059,0.414,0.721,16,0.00,1.00,32.999112,7.957457
Ofav_105,Star,Ofav,2,2,So2-2,6,controlpH,hightemp,controlpH_hightemp,CH,03:15,12,-0.026005504,0.507,0.827,18,0.00,1.00,33.017225,8.004322
Ofav_106,Star,Ofav,3,2,So3-2,6,controlpH,hightemp,controlpH_hightemp,CH,03:16,13,0.29230477,0.464,0.744,14,0.00,1.00,33.022289,8.026373
Ofav_107,Star,Ofav,4,2,So4-2,6,controlpH,hightemp,controlpH_hightemp,CH,03:17,14,0.141618714,0.467,0.804,21,0.00,1.00,33.019454,8.028577
Ofav_108,Star,Ofav,5,2,So5-2,6,controlpH,hightemp,controlpH_hightemp,CH,03:19,15,0.424737112,0.421,0.683,30,0.00,1.00,32.988458,7.997266
Ofav_109,MacN,Ofav,1,2,Mo1-2,6,controlpH,hightemp,controlpH_hightemp,CH,03:22,16,-0.055451417,0.429,0.773,18,0.00,1.00,32.945152,7.890439
Ofav_110,MacN,Ofav,2,2,Mo2-2,6,controlpH,hightemp,controlpH_hightemp,CH,03:25,17,-0.080435075,0.399,0.759,11,0.00,1.00,32.950774,7.851446
Ofav_111,MacN,Ofav,3,2,Mo3-2,6,controlpH,hightemp,controlpH_hightemp,CH,03:24,18,0.22596648,0.465,0.75,35,0.00,1.00,32.943398,7.859227
Ofav_112,MacN,Ofav,4,2,Mo4-2,6,controlpH,hightemp,controlpH_hightemp,CH,03:28,19,0.132260971,0.439,0.78,28,0.00,1.00,32.972689,7.845783
Ofav_113,MacN,Ofav,5,2,Mo5-2,6,controlpH,hightemp,controlpH_hightemp,CH,03:24,20,0.259780238,0.476,0.812,25,0.00,1.00,32.943398,7.859227
Ofav_114,MacN,Ofav,6,2,CR046,6,controlpH,hightemp,controlpH_hightemp,CH,03:22,21,0.298560037,0.492,0.812,35,0.00,1.00,32.945152,7.890439
Ofav_115,Emerald,Ofav,1,3,Eo1-3,4,lowpH,controltemp,lowpH_controltemp,LC,03:32,1,0.229527512,0.351,0.601,,1.00,0.00,22.505449,7.815671
Ofav_116,Emerald,Ofav,3,3,Eo3-3,4,lowpH,controltemp,lowpH_controltemp,LC,03:34,3,0.233784935,0.317,0.547,,0.97,0.03,22.501449,7.814456
Ofav_117,Emerald,Ofav,4,3,Eo4-3,4,lowpH,controltemp,lowpH_controltemp,LC,03:35,4,0.391298251,0.295,0.516,17,1.00,0.00,22.506071,7.815627
Ofav_118,Emerald,Ofav,5,3,Eo5-3,4,lowpH,controltemp,lowpH_controltemp,LC,03:36,5,0.562448949,0.336,0.574,10,1.00,0.00,22.518267,7.822422
Ofav_119,Rainbow,Ofav,2,3,Ro2-3,4,lowpH,controltemp,lowpH_controltemp,LC,03:40,7,0.132500708,0.322,0.593,,0.00,1.00,22.54782,7.819187
Ofav_120,Rainbow,Ofav,4,3,Ro4-3,4,lowpH,controltemp,lowpH_controltemp,LC,03:41,9,0.181406898,0.409,0.683,,0.73,0.27,22.559458,7.818991
Ofav_121,Rainbow,Ofav,5,3,Ro5-3,4,lowpH,controltemp,lowpH_controltemp,LC,03:42,10,0.274811332,0.367,0.637,25,0.00,1.00,22.564834,7.818991
Ofav_122,Star,Ofav,1,3,So1-3,4,lowpH,controltemp,lowpH_controltemp,LC,03:45,11,0.009955487,0.367,0.637,,0.00,1.00,22.577505,7.815602
Ofav_123,Star,Ofav,2,3,So2-3,4,lowpH,controltemp,lowpH_controltemp,LC,03:46,12,0.096023941,0.405,0.66,25,0.00,1.00,22.592847,7.820235
Ofav_124,Star,Ofav,3,3,So3-3,4,lowpH,controltemp,lowpH_controltemp,LC,03:47,13,0.333742882,0.417,0.703,25,0.00,1.00,22.597813,7.820235
Ofav_125,Star,Ofav,4,3,So4-3,4,lowpH,controltemp,lowpH_controltemp,LC,03:49,14,0.079499847,0.423,0.703,27,0.00,1.00,22.604911,7.822518
Ofav_126,Star,Ofav,5,3,So5-3,4,lowpH,controltemp,lowpH_controltemp,LC,03:50,15,0.350097769,0.414,0.655,27,0.00,1.00,22.59724,7.822643
Ofav_127,MacN,Ofav,1,3,Mo1-3,4,lowpH,controltemp,lowpH_controltemp,LC,03:47,16,-0.183405798,0.376,0.695,27,0.00,1.00,22.597813,7.820235
Ofav_128,MacN,Ofav,4,3,Mo4-3,4,lowpH,controltemp,lowpH_controltemp,LC,03:48,19,-0.021731628,0.439,0.733,27,0.00,1.00,22.606239,7.821077
Ofav_129,MacN,Ofav,5,3,Mo5-3,4,lowpH,controltemp,lowpH_controltemp,LC,03:51,20,0.195532221,0.457,0.746,,0.00,1.00,22.55577,7.823256
Ofav_130,MacN,Ofav,6,3,CR047,4,lowpH,controltemp,lowpH_controltemp,LC,03:52,21,0.043069287,0.421,0.697,27,0.00,1.00,22.521676,7.823712
Ofav_131,Emerald,Ofav,2,4,Eo2-4,8,lowpH,hightemp,lowpH_hightemp,LH,03:58,2,0.420727629,0.425,0.725,14,1.00,0.00,32.995916,7.821764
Ofav_132,Emerald,Ofav,4,4,Eo4-4,8,lowpH,hightemp,lowpH_hightemp,LH,04:00,4,0.418455126,0.421,0.687,21,1.00,0.00,32.993506,7.823659
Ofav_133,Emerald,Ofav,5,4,Eo5-4,8,lowpH,hightemp,lowpH_hightemp,LH,04:01,5,0.668131785,0.399,0.669,7,1.00,0.00,32.988245,7.823673
Ofav_153,Emerald,Ofav,4,3,Eo4-3,4,lowpH,hightemp,lowpH_hightemp,LH,03:05,4,0.391298251,0.22,0.385,17,1.00,0.00,32.998965,7.815966
Ofav_154,Emerald,Ofav,5,3,Eo5-3,4,lowpH,hightemp,lowpH_hightemp,LH,03:07,5,0.562448949,0.329,0.562,10,0.00,0.00,33.024306,7.816174
Ofav_134,Rainbow,Ofav,5,4,Ro5-4,8,lowpH,hightemp,lowpH_hightemp,LH,04:02,10,0.565510598,0.388,0.643,25,0.00,1.00,32.994162,7.822569
Ofav_155,Rainbow,Ofav,5,3,Ro5-3,4,lowpH,hightemp,lowpH_hightemp,LH,03:09,10,0.274811332,0.368,0.639,25,0.00,1.00,33.033698,7.817851
Ofav_135,Star,Ofav,5,4,So5-4,8,lowpH,hightemp,lowpH_hightemp,LH,04:03,15,0.324732873,0.47,0.731,25,0.00,1.00,32.995047,7.822829
Ofav_156,Star,Ofav,2,3,So2-3,4,lowpH,hightemp,lowpH_hightemp,LH,03:16,12,0.096023941,0.394,0.642,25,0.00,1.00,32.957462,7.823444
Ofav_157,Star,Ofav,3,3,So3-3,4,lowpH,hightemp,lowpH_hightemp,LH,03:17,13,0.333742882,0.396,0.668,25,0.00,1.00,32.94966,7.823404
Ofav_158,Star,Ofav,4,3,So4-3,4,lowpH,hightemp,lowpH_hightemp,LH,03:18,14,0.079499847,0.415,0.689,27,0.00,1.00,32.937333,7.823404
Ofav_159,Star,Ofav,5,3,So5-3,4,lowpH,hightemp,lowpH_hightemp,LH,03:19,15,0.350097769,0.383,0.606,27,0.00,1.00,32.933236,7.824068
Ofav_136,MacN,Ofav,4,4,Mo4-4,8,lowpH,hightemp,lowpH_hightemp,LH,04:05,19,0.148192161,0.497,0.844,24,0.00,1.00,33.027059,7.823024
Ofav_137,MacN,Ofav,5,4,Mo5-4,8,lowpH,hightemp,lowpH_hightemp,LH,04:05,20,0.063717664,0.491,0.792,25,0.00,1.00,33.027059,7.823024
Ofav_138,MacN,Ofav,6,4,CR049,8,lowpH,hightemp,lowpH_hightemp,LH,04:03,21,1.140602553,0.482,0.782,25,0.00,1.00,32.995047,7.822829
Ofav_160,MacN,Ofav,1,3,Mo1-3,4,lowpH,hightemp,lowpH_hightemp,LH,03:24,16,-0.183405798,0.392,0.725,27,0.00,1.00,32.961953,7.822263
Ofav_161,MacN,Ofav,4,3,Mo4-3,4,lowpH,hightemp,lowpH_hightemp,LH,03:25,19,-0.021731628,0.417,0.696,27,0.00,1.00,32.969001,7.822056
Ofav_162,MacN,Ofav,5,3,Mo5-3,4,lowpH,hightemp,lowpH_hightemp,LH,03:26,20,0.195532221,0.419,0.684,,0.00,1.00,32.989687,7.822228
Ofav_163,MacN,Ofav,6,3,CR047,4,lowpH,hightemp,lowpH_hightemp,LH,03:27,21,0.043069287,0.429,0.71,27,0.00,1.00,32.993818,7.822276