"","incubation","site","species","treatment","meanTA","sdTA","nTA","seTA","meanpH","sdpH","npH","sepH","meanDIC","sdDIC","nDIC","seDIC","meanpCO2","sdpCO2","npCO2","sepCO2","meanAr","sdAr","nAr","seAr","meanCalc","sdCalc","nCalc","seCalc"
"1","day","Emerald","Ofav","control pH",-22.3668156,12.3885362465037,5,5.54032183778048,0.091884862,0.0453849345936239,5,0.020296759781145,-7.69174229876299e-05,1.97832309476818e-05,5,8.84732984271884e-06,-104.086949574183,46.0460534363287,5,20.5924211158438,0.550506753317574,0.312932508713922,5,0.139947672370775,0.039749388,0.0206997515011611,5,0.0092572102947899
"2","day","Emerald","Ofav","low pH",-35.6215476,11.9778660885199,5,5.35666455986399,0.192063084,0.0603200365361965,5,0.0269759404200413,-0.000127279314929171,3.41949992019151e-05,5,1.52924685412066e-05,-349.968174809634,81.5952764889369,5,36.4905169744307,0.874224868760479,0.322238532330071,5,0.144109452651961,0.042985514,0.0194136810871877,5,0.00868206212089075
"3","day","Emerald","Ssid","control pH",-39.460307,5.56535580589605,5,2.48890278019134,0.054015852,0.0112291941364249,5,0.00502184828431764,-6.80446392008473e-05,1.05847904385886e-05,5,4.73366218965477e-06,-69.4260564432398,12.8967715783198,5,5.76761158788207,0.270496635837924,0.0658564773780979,5,0.0294519120352208,0.050642882,0.00580450544409427,5,0.00259585374975248
"4","day","Emerald","Ssid","low pH",-41.3725383,15.2635651658426,5,6.82607385796439,0.056485936,0.0478930695403451,5,0.0214184318286672,-6.57561358319253e-05,1.20874899129902e-05,5,5.40568982455781e-06,-123.088238825328,75.2756627892545,5,33.6642998096249,0.215167784032085,0.245440417989386,5,0.109764291810046,0.034096854,0.0194068305872141,5,0.00867899848416659
"5","day","Rainbow","Ofav","control pH",-22.6617529,13.3494831763754,5,5.97007036937303,0.099246792,0.0425139307316516,5,0.0190128078213381,-8.19188653410799e-05,2.40049917452167e-05,5,1.07353586683252e-05,-111.345751148043,44.009332417624,5,19.6815717860385,0.598275334596832,0.286644177956795,5,0.128191173453188,0.037062768,0.0250573487972206,5,0.0112059870493015
"6","day","Rainbow","Ofav","low pH",-30.2566576,14.85116102638,5,6.64164111995623,0.243074202,0.0732181858634859,5,0.0327441681559937,-0.000151036995843652,3.88065120445316e-05,5,1.73547997802474e-05,-414.801159174862,92.3796448308206,5,41.3134331158004,1.17120799366778,0.411931346198151,5,0.184221298432413,0.02847472,0.0213452942152023,5,0.00954590577298509
"7","day","Rainbow","Ssid","control pH",-39.2470934,14.9296502621185,5,6.6767425732789,0.044865248,0.0194577376500499,5,0.00870176481477372,-6.24227795742875e-05,1.05027413778556e-05,5,4.69696873419699e-06,-59.2959715343316,20.1327709260706,5,9.00364887322507,0.21561235998494,0.134223445384928,5,0.0600265496109858,0.046131122,0.0177477502192706,5,0.00793703518759518
"8","day","Rainbow","Ssid","low pH",-35.8369676,10.8122523719375,5,4.83538625870713,0.042474878,0.0229706521602287,5,0.0102727879435548,-5.33584968175647e-05,1.93047040209454e-05,5,8.6333260952695e-06,-98.4578377619726,47.0136101640691,5,21.0251256389067,0.149558918833578,0.0933252672908566,5,0.0417363283361386,0.032496234,0.0192447428629192,5,0.00860651065019826
"9","day","Star Island","Ofav","control pH",-26.251519,9.83300064190971,5,4.39745157162184,0.107613666,0.0323409207388825,5,0.0144632994454148,-9.0363771351201e-05,1.41061689828407e-05,5,6.30847054954618e-06,-120.287717961335,34.3252798318203,5,15.3507318101305,0.647286894584307,0.220807345656779,5,0.0987480469639701,0.037641638,0.0121224645734859,5,0.00542133096822948
"10","day","Star Island","Ofav","low pH",-31.5362081,25.0870435154699,5,11.2192669310172,0.24281101,0.0543702697829379,5,0.0243151238379304,-0.000151423089048994,3.83863453931509e-05,5,1.71668955413743e-05,-417.76200754807,72.3824270173864,5,32.3704054374587,1.16020150052181,0.293954281549681,5,0.13146035116444,0.024387746,0.027297615057735,5,0.0122078645785435
"11","day","Star Island","Ssid","control pH",-51.9870043,8.47385601676802,5,3.78962361700778,0.093752024,0.0249901031791153,5,0.0111759138946471,-0.000104031901866249,2.09091671864841e-05,5,9.35086383637728e-06,-111.303047116726,24.920487062153,5,11.1447806206756,0.504645607047209,0.154409703918612,5,0.0690541188695265,0.069253494,0.0113638961280113,5,0.00508208884629598
"12","day","Star Island","Ssid","low pH",-37.6643887,6.87106824633868,5,3.07283513537071,0.029048334,0.0302460066167681,5,0.0135264253686004,-4.90442082188147e-05,1.78073934977633e-05,5,7.96370847261731e-06,-71.6107291371718,62.264637761371,5,27.8455925257652,0.0907250571317478,0.124456661842415,5,0.055658711226469,0.038202436,0.0196529157296629,5,0.00878905110552021
"13","day","MacArthur North","Ofav","control pH",-17.8603148,9.41651185178652,5,4.21119212230542,0.076288444,0.0193270228158382,5,0.00864330736378072,-6.26553180305387e-05,7.42373198551764e-06,5,3.31999387327139e-06,-88.6807773717551,21.9007490903915,5,9.79431274485643,0.451301275589332,0.130515772195732,5,0.0583684277531067,0.033078806,0.0178752528957265,5,0.0079940561179689
"14","day","MacArthur North","Ofav","low pH",-22.5333356428571,27.0387126555275,7,10.2196727796944,0.191045314285714,0.0930482800635684,7,0.0351689441386416,-0.000115492303209844,4.78142842664719e-05,7,1.80721007550904e-05,-337.766387927699,119.899499363831,7,45.3177510911204,0.898887690492449,0.53796263675527,7,0.20333076449986,0.0264646771428571,0.0305798206743999,7,0.0115580858059162
"15","day","MacArthur North","Ssid","control pH",-49.5043817,6.8800031599478,5,3.07683095021133,0.01872207,0.0227877159868919,5,0.0101909763997298,-5.63317256886124e-05,1.90622392426037e-05,5,8.5248925499652e-06,-31.1058854146649,26.667785745828,5,11.9261963474143,0.0430677159615232,0.12739312929057,5,0.0569719393920268,0.070736476,0.00994932839442593,5,0.00444947492408104
"16","day","MacArthur North","Ssid","low pH",-62.2881261,20.1514092699083,5,9.01198419398689,0.03871382,0.034481765161274,5,0.0154207141769585,-7.72342333138174e-05,9.20797525908889e-06,5,4.1179317228918e-06,-98.4105639893733,62.8348873866423,5,28.1006159110153,0.113889688438318,0.158272842688664,5,0.0707817670487966,0.064310682,0.0157437616905846,5,0.00704082427234085
"17","day",NA,"control","control pH",-2.96653475,6.12497484854045,2,4.33101125,0.315808095,0.0167538981596538,2,0.011846795,-0.00016950293714122,1.22302675405764e-06,2,8.64810511366733e-07,-502.399067600514,37.470032034104,2,26.4953137425921,1.65480700496448,0.0722780560232929,2,0.0511083035450516,0,0.0108768437874321,2,0.00769109
"18","day",NA,"control","low pH",-8.29781275,2.72678017139723,2,1.92812475,0.10503976,0.048241879313841,2,0.03411216,-5.68345156563379e-05,2.50920052570509e-05,2,1.77427270708292e-05,-212.159615962468,94.4268837824807,2,66.7698898489061,0.459234378061344,0.214360667869402,2,0.151575881870131,0,0.00482894534580792,2,0.00341458
"19","night","Emerald","Ofav","control pH",-10.4595135,7.01754840470064,5,3.13834305366117,0.01154303,0.136351383099924,5,0.0609781922875091,-1.15760918539598e-05,7.00302872011768e-05,5,3.13184965331329e-05,-45.0342228089158,231.794143873761,5,103.661492497619,-0.00666933202050424,0.68056684892799,5,0.304358747487163,0.032455626,0.0141298228126339,5,0.00631904886381534
"20","night","Emerald","Ofav","low pH",-15.194382,6.71847313192707,5,3.00459252559897,-0.069036184,0.00929169277479782,5,0.00415537133409831,1.38861585514309e-05,6.11949475865389e-06,5,2.73672125366075e-06,167.294335295603,22.8058735260945,5,10.199096698122,-0.267352666910712,0.0371801851854398,5,0.0166274842981348,0.024304182,0.0101321935381422,5,0.004531254702494
"21","night","Emerald","Ssid","control pH",-9.9080764,3.73140872926304,5,1.66873671409365,-0.056309336,0.0169113192828378,5,0.00756297190112564,2.19628484332968e-05,8.74655546631125e-06,5,3.91157851832886e-06,74.8871972014971,24.6885993779124,5,11.0410772956542,-0.326699867492193,0.0899796445848753,5,0.0402401203766104,0.024606154,0.00326655425608239,5,0.0014608474737583
"22","night","Emerald","Ssid","low pH",-14.4353699,10.8795008627515,5,4.86546069807601,-0.038510938,0.0395429878678644,5,0.0176841617811988,2.30142043045507e-06,1.27928513461237e-05,5,5.72113704719645e-06,87.8421571482197,98.9714573194258,5,44.261381279691,-0.157848326895527,0.149892989100832,5,0.0670341825960192,0.018155916,0.0108498080071115,5,0.00485218164934455
"23","night","Rainbow","Ofav","control pH",-12.7921041,9.41095455400258,5,4.2087068231822,0.011491372,0.140998835088695,5,0.063056596001321,-1.3740144198886e-05,6.71019509571818e-05,5,3.00089047526231e-05,-45.4763396382794,236.872164759148,5,105.932452475797,-0.0100891009508518,0.713439061166706,5,0.319059647714477,0.032703312,0.0138245876374187,5,0.00618254354363429
"24","night","Rainbow","Ofav","low pH",-22.3726296,8.50116045570112,5,3.80183453331616,-0.083846964,0.00988709242797548,5,0.00442164215375532,1.28068343004227e-05,5.609088946603e-06,5,2.5084608352894e-06,204.786605343049,22.0909437148236,5,9.87937036669344,-0.323284860164156,0.0412298530403497,5,0.0184385508201097,0.032936252,0.0197628934243223,5,0.00883823462577363
"25","night","Rainbow","Ssid","control pH",-15.2944137,12.1890385644682,5,5.45110376210347,-0.048910702,0.0173445619393535,5,0.00775672390727,1.2910918411539e-05,8.27893662353284e-06,5,3.7024530143264e-06,63.1901260796035,23.1094616412518,5,10.3348654306526,-0.29287999185393,0.105356090038318,5,0.0471166758338534,0.029977726,0.0138489020306225,5,0.00619341727084136
"26","night","Rainbow","Ssid","low pH",-7.0625904,5.33031302071965,5,2.38378845113628,-0.031339794,0.0418533876144647,5,0.0187174039589182,6.5495050143514e-06,1.55556705381133e-05,5,6.95670735176241e-06,72.1338534614716,107.084156030982,5,47.889490439694,-0.127125933007284,0.154606164569418,5,0.0691419787435475,0.011843298,0.0074502785522536,5,0.00333186585882955
"27","night","Star Island","Ofav","control pH",-12.8587863,7.03862151622577,5,3.14776723563469,-0.001937304,0.133059782705097,5,0.0595061438399897,-6.17683428607955e-06,6.8427299757766e-05,5,3.06016187550239e-05,-27.8006264099308,227.528967120842,5,101.754047466503,-0.0869233420880884,0.662437806156098,5,0.296251193086173,0.030153456,0.0092204588762073,5,0.00412351456618817
"28","night","Star Island","Ofav","low pH",-20.0740603,16.3855550369679,5,7.32784298234487,-0.079141332,0.011801695299067,5,0.0052778785876907,1.29447403385532e-05,1.2028471246431e-05,5,5.37929587448425e-06,193.080039035606,24.8624449495418,5,11.1188233988044,-0.304076071425236,0.0514309081429756,5,0.0230006013504482,0.028966642,0.0267990582345569,5,0.0119849031890889
"29","night","Star Island","Ssid","control pH",-16.7727999,7.36326657800356,5,3.29295292097365,-0.061286144,0.00842320401580835,5,0.00376697135353934,1.82248636691707e-05,6.07169295777392e-06,5,2.71534363841785e-06,80.4531402094125,12.7156754817451,5,5.68662295140186,-0.361711584357098,0.0480660611925235,5,0.0214957960474294,0.034666916,0.0106465409995984,5,0.00476127788006812
"30","night","Star Island","Ssid","low pH",-21.1209429,18.669480633394,5,8.34924556017694,-0.046711374,0.0380083176509673,5,0.0169978363955936,-8.00192482091917e-07,1.91898827708589e-05,5,8.58197647117849e-06,106.712880807679,95.2522751009325,5,42.5981124274391,-0.192298113581192,0.145006227380726,5,0.0648487563168188,0.033283878,0.0333309506470761,5,0.0149060542803105
"31","night","MacArthur North","Ofav","control pH",-9.0674674,7.61659736953431,5,3.40624589510496,0.013488248,0.136591707912941,5,0.0610856688112265,-1.13676809919208e-05,6.57978863585064e-05,5,2.94257093346853e-05,-47.3711192419552,231.183350967771,5,103.388337606026,0.00646654790911585,0.688860625294697,5,0.308067837036391,0.029739262,0.0131339885302893,5,0.00587369823388587
"32","night","MacArthur North","Ofav","low pH",-13.9346564285714,13.020900340337,7,4.92143773524114,-0.0193404157142857,0.115208808129469,7,0.0435448364506761,-8.23626475026865e-06,5.05979775039672e-05,7,1.91242379026197e-05,68.2189865418659,218.070556770341,7,82.4229230685309,-0.0429389831771482,0.539991686863725,7,0.204097673354811,0.0237334157142857,0.0146784207688462,7,0.00554792157050465
"33","night","MacArthur North","Ssid","control pH",-24.2550248,7.79493021336569,5,3.48599876739053,-0.051192714,0.0106858160004924,5,0.0047788421944312,5.86689507070335e-06,6.18481076737616e-06,5,2.76593146076515e-06,64.2366768954042,15.2006624854242,5,6.79794292408787,-0.316774191759529,0.0625799827753515,5,0.0279866191032904,0.04712487,0.0128320982742087,5,0.00573868880701768
"34","night","MacArthur North","Ssid","low pH",-17.6833902,10.4008739960546,5,4.65141225611759,-0.061139438,0.0497585390759091,5,0.0222526951669624,8.22961507087978e-06,1.34795845967499e-05,5,6.02825349335838e-06,147.754874014492,126.392935810209,5,56.5246392694791,-0.239329764229186,0.18607104503615,5,0.0832135010690511,0.024793996,0.0123222270044615,5,0.0055106674432319
"35","night",NA,"control","control pH",8.54116775,5.26039892271757,2,3.71966375,0.265673355,0.00486849382807971,2,0.00344254500000002,-0.00012500015660866,8.59641664613629e-06,2,6.07858450438789e-06,-459.241191465587,2.97939037437886,2,2.10674713752522,1.31271698256313,0.0349732947423544,2,0.0247298538727546,0,0.0138275013903742,2,0.00977752
"36","night",NA,"control","low pH",1.17670525,0.269123780259428,2,0.19029925,-0.01303412,0.010219220338793,2,0.00722608,6.64121487632023e-06,4.51981961125924e-06,2,3.19599509686136e-06,31.749117014912,25.1199078271827,2,17.7624571673819,-0.049185551682861,0.0383413349944863,2,0.0271114179743464,0,0.00188217683016235,2,0.0013309
